Category:,Brief Description:,Extended Description:,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Polyimides and Polypyrrolones,HBPI(ODPA/TAP/ODA)(1/0/1),,,2.389,0.132,0.017,0.595,0.01,,,,,,,,,,,Peter 2009,http://www.sciencedirect.com/science/article/pii/S0014305709001098
Polyimides and Polypyrrolones,HBPI(ODPA/TAP/ODA)(1/0.5/0.5),,,2.514,0.101,0.013,0.352,0.007,,,,,,,,,,,Peter 2009,http://www.sciencedirect.com/science/article/pii/S0014305709001098
Polyimides and Polypyrrolones,HBPI(ODPA/TAP/ODA)(2/0.5/0.5,,,1.923,0.065,0.007,0.257,0.004,,,,,,,,,,,Peter 2009,http://www.sciencedirect.com/science/article/pii/S0014305709001098
Polyimides and Polypyrrolones,6FDA-ODA PI,Polyimide,51.5,,4.34,0.835,23,0.38,,,,,,,,,,,Walker 1991,http://www.sciencedirect.com/science/article/pii/S0376738800823297
Polyimides and Polypyrrolones,6FDA-DAF PI,Polyimide,98.5,,7.85,1.266,32.2,0.63,,,,,,,,,,,Walker 1991,http://www.sciencedirect.com/science/article/pii/S0376738800823297
Polyimides and Polypyrrolones,6FDA-TADPO polypyrrolone,Polypyrrolone,89,,7.9,1.215,27.6,0.54,,,,,,,,,,,Walker 1991,http://www.sciencedirect.com/science/article/pii/S0376738800823297
Polyimides and Polypyrrolones,6FDA-TAB polypyrrolone,Polypyrrolone,166,,15.2,2.58,54,0.922,,,,,,,,,,,Zimmerman 1999,http://dx.doi.org/10.1002/(SICI)1099-0488(19990615)37:12%3C1235::AID-POLB5%3E3.0.CO;2-J
Polyimides and Polypyrrolones,6FDA/PMDA(50/50)-TAB polypyrrolone,Polypyrrolone,65.3,,4.73,0.696,15.8,0.272,,,,,,,,,,,Zimmerman 1999,http://dx.doi.org/10.1002/(SICI)1099-0488(19990615)37:12%3C1235::AID-POLB5%3E3.0.CO;2-J
Polyimides and Polypyrrolones,6FDA/PMDA(25/75)-TAB polypyrrolone,Polypyrrolone,35.7,,1.01,0.0981,3.13,0.0224,,,,,,,,,,,Zimmerman 1999,http://dx.doi.org/10.1002/(SICI)1099-0488(19990615)37:12%3C1235::AID-POLB5%3E3.0.CO;2-J
Polyimides and Polypyrrolones,6FDA/PMDA(10/90)-TAB polypyrrolone,Polypyrrolone,22.5,,0.453,0.0362,1.11,0.0075,,,,,,,,,,,Zimmerman 1999,http://dx.doi.org/10.1002/(SICI)1099-0488(19990615)37:12%3C1235::AID-POLB5%3E3.0.CO;2-J
Polyimides and Polypyrrolones,6FDA-TAB polypyrrolone,Polypyrrolone,,,15.2,2.58,54,0.9,,,,,,,,,,,Burns 2003,http://dx.doi.org/10.1021/ma0259261
Polyimides and Polypyrrolones,6FDA-TAB/mTrMPD (75/25) ,Pyrrolone/imide copolymer,,,15.9,3.06,73.7,1.675,,,,,,,,,,,Burns 2003,http://dx.doi.org/10.1021/ma0259261
Polyimides and Polypyrrolones,6FDA-TAB/mTrMDP (50/50),Pyrrolone/imide copolymer,,,30.3,6.59,155,4.56,,,,,,,,,,,Burns 2003,http://dx.doi.org/10.1021/ma0259261
Polyimides and Polypyrrolones,6FDA-mTrMPD polyimide,Polyimide,,,109,29.5,370,17.6,,,,,,,,,,,Burns 2003,http://dx.doi.org/10.1021/ma0259261
Polyimides and Polypyrrolones,HQDPA-PADPO polypyrrolone,Polypyrrolone,,5.34,0.23,0.036,,,,,,,,,,,,,Gao 1994,http://www.sciencedirect.com/science/article/pii/0376738893E0157F
Polyimides and Polypyrrolones,PMDA-TADPO polypyrrolone,Polypyrrolone,,5.06,0.14,0.013,,,,,,,,,,,,,Gao 1994,http://www.sciencedirect.com/science/article/pii/0376738893E0157F
Polyimides and Polypyrrolones,BPDA-TADPO polypyrrolone,Polypyrrolone,,6.56,0.24,0.023,,,,,,,,,,,,,Gao 1994,http://www.sciencedirect.com/science/article/pii/0376738893E0157F
Polyimides and Polypyrrolones,ODPA-TADPO polypyrrolone,Polypyrrolone,,6.88,0.22,0.026,,,,,,,,,,,,,Gao 1994,http://www.sciencedirect.com/science/article/pii/0376738893E0157F
Polyimides and Polypyrrolones,6FDA-TADPO polypyrrolone,Polypyrrolone,,54.9,5.04,0.81,,,,,,,,,,,,,Gao 1994,http://www.sciencedirect.com/science/article/pii/0376738893E0157F
Polyimides and Polypyrrolones,6FDA-TABP polypyrrolone,Polypyrrolone,,74.4,7.75,1.44,,,,,,,,,,,,,Gao 1994,http://www.sciencedirect.com/science/article/pii/0376738893E0157F
Polyimides and Polypyrrolones,SiDA-OTA polypyrrolone,Polypyrrolone,,12.7,0.63,0.102,,,,,,,,,,,,,Hellums 1991,http://dx.doi.org/10.1002/app.1991.070431103
Polyimides and Polypyrrolones,SiDA-ODA polyimide,Polypyrrolone,,5.21,0.33,0.058,,,,,,,,,,,,,Hellums 1991,http://dx.doi.org/10.1002/app.1991.070431103
Polyimides and Polypyrrolones,BPDA-OTA polypyrrolone,Polypyrrolone,,6.56,0.24,0.023,,,,,,,,,,,,,Hellums 1991,http://dx.doi.org/10.1002/app.1991.070431103
Polyimides and Polypyrrolones,OPDA-TADPO polypyrrolone,Polypyrrolone,,6.88,0.223,0.0261,,,,,,,,,,,,,Gao 1996,http://www.sciencedirect.com/science/article/pii/0032386196810950
Polyimides and Polypyrrolones,,Fluorinated poly(phenylene-imide) PI,,27.37,2.99,0.4,14.16,0.36,,,,,,,,,,,Li 2007,http://dx.doi.org/10.1002/macp.200600461
Polyimides and Polypyrrolones,,Fluorinated poly(phenylene-imide) PI-90,,26.03,3.01,0.59,14.64,0.39,,,,,,,,,,,Li 2007,http://dx.doi.org/10.1002/macp.200600461
Polyimides and Polypyrrolones,,Fluorinated poly(phenylene-imide) PI-75,,23.71,2.65,0.49,13.45,0.36,,,,,,,,,,,Li 2007,http://dx.doi.org/10.1002/macp.200600461
Polyimides and Polypyrrolones,,Fluorinated poly(phenylene-imide) PI-50,,16.66,1.66,0.3,8.06,0.26,,,,,,,,,,,Li 2007,http://dx.doi.org/10.1002/macp.200600461
Polyimides and Polypyrrolones,,Fluorinated poly(phenylene-imide) PI-25,,11.04,0.87,0.14,4,0.14,,,,,,,,,,,Li 2007,http://dx.doi.org/10.1002/macp.200600461
Polyimides and Polypyrrolones,,Fluorinated poly(phenylene-imide) PI-10,,9.98,0.78,0.12,3.61,0.13,,,,,,,,,,,Li 2007,http://dx.doi.org/10.1002/macp.200600461
Polyimides and Polypyrrolones,FBP-BTDA PI,Polyimide,,,6.24,0.95,36.07,0.94,,,,,,,,,,,Dasgupta 2010,http://www.sciencedirect.com/science/article/pii/S0376738810004680
Polyimides and Polypyrrolones,FBP-6FDA PI,Polyimide,,,13.46,2.06,53.09,1.34,,,,,,,,,,,Dasgupta 2010,http://www.sciencedirect.com/science/article/pii/S0376738810004680
Polyimides and Polypyrrolones,FBP-ODPA PI,Polyimide,,,7.86,1.22,25.91,1.04,,,,,,,,,,,Dasgupta 2010,http://www.sciencedirect.com/science/article/pii/S0376738810004680
Polyimides and Polypyrrolones,FBP-BPADA PI,Polyimide,,,7.01,1.19,22.52,1.01,,,,,,,,,,,Dasgupta 2010,http://www.sciencedirect.com/science/article/pii/S0376738810004680
Polyimides and Polypyrrolones,Matrimid 5218 PI,Polyimide,22,,1.9,0.27,8.7,0.24,,,,,,,,,,,Guiver 2002,http://dx.doi.org/10.1002/pola.10516
Polyimides and Polypyrrolones,Matrimid 5218 PI,Polyimide,21,,1.7,0.25,6.5,0.19,,,,,,,,,,,Xiao 2005,http://dx.doi.org/10.1021/ma051354j
Polyimides and Polypyrrolones,Brominated Matrimid 5218 PI,Polyimide,38,,3.6,0.55,13.3,0.44,,,,,,,,,,,Xiao 2005,http://dx.doi.org/10.1021/ma051354j
Polyimides and Polypyrrolones,BPI PMDA PI,Polyimide,,,12.22,2.36,44.68,1.52,,,,,,,,,,,Dasgupta 2009,http://www.sciencedirect.com/science/article/pii/S0376738809006516
Polyimides and Polypyrrolones,BPI-BTDA PI,Polyimide,,,7.98,1.32,34.2,0.88,,,,,,,,,,,Dasgupta 2009,http://www.sciencedirect.com/science/article/pii/S0376738809006516
Polyimides and Polypyrrolones,BPI-6FDA PI,Polyimide,,,14.98,2.44,57.45,1.62,,,,,,,,,,,Dasgupta 2009,http://www.sciencedirect.com/science/article/pii/S0376738809006516
Polyimides and Polypyrrolones,BPI-ODA,Polyimide,,,8.95,1.42,35.78,0.98,,,,,,,,,,,Dasgupta 2009,http://www.sciencedirect.com/science/article/pii/S0376738809006516
Polyimides and Polypyrrolones,BPI-BPADA PI,Polyimide,,,10.95,2.08,39.45,1.38,,,,,,,,,,,Dasgupta 2009,http://www.sciencedirect.com/science/article/pii/S0376738809006516
Polyimides and Polypyrrolones,Matrimid 5218,,26.06,27.16,2,0.28,7,0.21,,,,,,,,,,,Hosseini 2009,http://www.sciencedirect.com/science/article/pii/S0376738808010314
Polyimides and Polypyrrolones,P84 PI,Polyimide,11.29,9.09,0.402,0.05,1.37,0.028,,,,,,,,,,,Hosseini 2009,http://www.sciencedirect.com/science/article/pii/S0376738808010314
Polyimides and Polypyrrolones,P84 PI,Polyimide,14.62,,0.89,0.102,1.39,,,,,,,,,,,,Shen 2010,http://dx.doi.org/10.1002/app.31810
Polyimides and Polypyrrolones,PI Ib,Polyimide,,,0.69,0.08,4.73,0.08,,,,,,,,,,,Chang 2008,http://dx.doi.org/10.1002/pola.23082
Polyimides and Polypyrrolones,PI IIb,Polyimide,,,4.28,0.89,16.82,0.5,,,,,,,,,,,Chang 2008,http://dx.doi.org/10.1002/pola.23082
Polyimides and Polypyrrolones,PI IIIb,Polyimide,,,1.97,0.45,11.77,1.24,,,,,,,,,,,Chang 2008,http://dx.doi.org/10.1002/pola.23082
Polyimides and Polypyrrolones,PI IVb,Polyimide,,,2.94,0.59,12.97,0.4,,,,,,,,,,,Chang 2008,http://dx.doi.org/10.1002/pola.23082
Polyimides and Polypyrrolones,PEI-I,Polyetherimide,,,17.08,3.11,36.61,1.51,,,,,,,,,,,Sen 2009,http://www.sciencedirect.com/science/article/pii/S0376738809005365
Polyimides and Polypyrrolones,PEI-II,Polyetherimide,,,15.17,2.87,33.12,1.19,,,,,,,,,,,Sen 2009,http://www.sciencedirect.com/science/article/pii/S0376738809005365
Polyimides and Polypyrrolones,PEI-III,Polyetherimide,,,12.15,1.91,51.92,1.95,,,,,,,,,,,Sen 2009,http://www.sciencedirect.com/science/article/pii/S0376738809005365
Polyimides and Polypyrrolones,PEI-IV,Polyetherimide,,,11.65,1.78,45.31,1.68,,,,,,,,,,,Sen 2009,http://www.sciencedirect.com/science/article/pii/S0376738809005365
Polyimides and Polypyrrolones,PEI 8a,Polyetherimide,,,9.92,1.02,23.87,0.35,,,,,,,,,,,Sen 2010,http://www.sciencedirect.com/science/article/pii/S0376738810007350
Polyimides and Polypyrrolones,PEI 8b,Polyetherimide,,,36.08,3.35,52.98,1.21,,,,,,,,,,,Sen 2010,http://www.sciencedirect.com/science/article/pii/S0376738810007350
Polyimides and Polypyrrolones,PEI 8d,Polyetherimide,,,13.07,1.12,22.64,0.41,,,,,,,,,,,Sen 2010,http://www.sciencedirect.com/science/article/pii/S0376738810007350
Polyimides and Polypyrrolones,PI,Polyimide,,,,,,,,,1,0.07,,,,,,,Lee 1992,http://dx.doi.org/10.1016/0376-7388(92)80184-L
Polyimides and Polypyrrolones,PVP,Poly(N-vinyl-pyrrolidone),,,,,,,,,0.0324,0.0324,,,,,,,Kim 2002,http://dx.doi.org/10.1002/1521-3765(20020201)8:3<650::AID-CHEM650>3.0.CO;2-X
Polyimides and Polypyrrolones,PVP+AgCF3SO3,Poly(N-vinyl-pyrrolidone) with 25% AgCF3SO3,,,,,,,,,1,0.0125,,,,,,,Kim 2002,http://dx.doi.org/10.1002/1521-3765(20020201)8:3<650::AID-CHEM650>3.0.CO;2-X
Polyimides and Polypyrrolones,PVP+AgCF3SO3,Poly(N-vinyl-pyrrolidone) with 33% AgCF3SO3,,,,,,,,,7.5,0.0053,,,,,,,Kim 2002,http://dx.doi.org/10.1002/1521-3765(20020201)8:3<650::AID-CHEM650>3.0.CO;2-X
Polyimides and Polypyrrolones,PVP+AgCF3SO3,Poly(N-vinyl-pyrrolidone) with 50% AgCF3SO3,,,,,,,,,32,0.0044,,,,,,,Kim 2002,http://dx.doi.org/10.1002/1521-3765(20020201)8:3<650::AID-CHEM650>3.0.CO;2-X
Polyimides and Polypyrrolones,PVP+AgCF3SO3,Poly(N-vinyl-pyrrolidone) with 66.7% AgCF3SO3,,,,,,,,,44,0.53,,,,,,,Kim 2002,http://dx.doi.org/10.1002/1521-3765(20020201)8:3<650::AID-CHEM650>3.0.CO;2-X
Polyimides and Polypyrrolones,PVP+AgCF3SO3,Poly(N-vinyl-pyrrolidone) with 75% AgCF3SO3,,,,,,,,,53,4.8,,,,,,,Kim 2002,http://dx.doi.org/10.1002/1521-3765(20020201)8:3<650::AID-CHEM650>3.0.CO;2-X
Polymers with High Free Volume,AF2400 (TFE/BDD87),"87 mol % 2,2-bis(trifluoromethyl)-4,5-diflouro-1,3-dioxole (BDD) and 13 mol % tetrafluoroethylene (TFE)",,2100,1290,480,2200,390,,,,,,,,,,,Merkel 1999,http://dx.doi.org/10.1021/ma9814402
Polymers with High Free Volume,AF1600 (TFE/BDD65),"65 mol % 2,2-bis(trifluoromethyl)-4,5-diflouro-1,3-dioxole (BDD) and 35 mol % tetrafluoroethylene (TFE)",,595,350,114,481,74.6,,,,,,,,,,,Alentiev 2002,http://dx.doi.org/10.1021/ma020494f
Polymers with High Free Volume,PTMSP,poly(1-trimethylsilyl-1-propyne),6500,17000,9700,6300,34000,15000,,,,,,,,,,,Toy 2000,http://dx.doi.org/10.1021/ma991566e
Polymers with High Free Volume,PMP,poly(4-methyl-2-pentyne),2600,5800,2700,1300,11000,2900,,,,,,,,,,,Merkel 2003,http://dx.doi.org/10.1021/ma0341566
Polymers with High Free Volume,PPP,poly(1-phenyl-1-propyne),,280,57,21,260,,,,,,,,,,,,,
Polymers with High Free Volume,PTMSDPA,poly(1-phenyl-2-(p-(trimethyl-silyl)phenyl)acetylene),1100,2600,1200,560,4900,1600,,,,,,,,,,,Toy 2000,http://dx.doi.org/10.1021/ma991566e
Polymers with High Free Volume,PIM-1,Polymer with Intrinsic Microporosity (spirobisindane-based ladder polymer),1500,3600,1300,340,6500,430,,,,,,,,,,,Thomas 2009,http://www.sciencedirect.com/science/article/pii/S0376738809001070
Polymers with High Free Volume,PIM-1,Polymer with Intrinsic Microporosity (spirobisindane-based ladder polymer),1060,2332,786,238,3496,360,,,,,,,,,,,Staiger 2008,http://dx.doi.org/10.1021/cm071722t
Polymers with High Free Volume,PIOFG-1,Polyimide with orth-positioned functional groups,,35.33,2.58,0.39,9.773,0.079,,,,,,,,,,,Park 2010,http://www.sciencedirect.com/science/article/B6TGK-4XFPPYS-1/2/a7b4f9aab6f2d702775eacfde1dba9a4
Polymers with High Free Volume,TR-1-450,Thermally-Rearranged polymer from PIOFG (polyimide with ortho-positioned functional groups),,1327.16,384.34,116.5,2100.19,77.1,,,,,,,,,,,Park 2010,http://www.sciencedirect.com/science/article/B6TGK-4XFPPYS-1/2/a7b4f9aab6f2d702775eacfde1dba9a4
Polymers with High Free Volume,PIM-1,Polymer with Intrinsic Microporosity (spirobisindane-based ladder polymer) at 4bar,1340,2936,969,252,5303,320,535,373,1575,205,,,,,,,Li 2013,http://dx.doi.org/10.1016/j.memsci.2013.01.009
Polymers with High Free Volume,PIM-1,Polymer with Intrinsic Microporosity (spirobisindane-based ladder polymer) at 4 bar,1340,2936,969,252,5303,320,535,373,1575,205,,,,,,,Li 2013,http://dx.doi.org/10.1016/j.memsci.2013.01.009
Polymers with High Free Volume,PIM-PI-EA (MeOH treated),Polymer with Intrinsic Microporosity (Polyimide Ethanoanthracene/Dimethylnaphthidine) at 1 bar,1580,4230,1380,369,7340,457,,,,,,,,,,,Rogan 2014,http://dx.doi.org/10.1039/C4TA00564C
Polymers with High Free Volume,PIM-PI-EA (aged 273 days),Polymer with Intrinsic Microporosity (Polyimide Ethanoanthracene/Dimethylnaphthidine) at 1bar,1130,2860,659,131,3230,156,,,,,,,,,,,Rogan 2014,http://dx.doi.org/10.1039/C4TA00564C
Polymers with High Free Volume,PIM-SBF (180 μm),Polymer with Intrinsic Microporosity (Spirobifluorene--based ladder polymer) at 1 bar,2200,6320,2640,786,13900,1100,,,,,,,,,,,Bezzu 2012,http://dx.doi.org/10.1002/adma.201202393
Polymers with High Free Volume,PIM-SBF (81 μm),Polymer with Intrinsic Microporosity (Spirobifluorene--based ladder polymer) at 1 bar,1840,5240,1950,554,10400,754,,,,,,,,,,,Bezzu 2012,http://dx.doi.org/10.1002/adma.201202393
Polymers with High Free Volume,PIM-EA-TB (181 μm),Polymer with Intrinsic Microporosity (dimethylethanoanthracene TB) at 1 bar,2570,7760,2150,525,7140,699,,,,,,,,,,,Carta 2013,http://dx.doi.org/10.1126/science.1228032
Polymers with High Free Volume,PIM-EA-TB (95 μm),Polymer with Intrinsic Microporosity (dimethylethanoanthracene TB) at 1 bar,2720,7310,1630,380,5100,572,,,,,,,,,,,Carta 2013,http://dx.doi.org/10.1126/science.1228033
Polymers with High Free Volume,PIM-EA-TB (181 μm aged 24h),Polymer with Intrinsic Microporosity (dimethylethanoanthracene TB) at 1 bar,2070,6155,1590,370,4780,502,,,,,,,,,,,Carta 2013,http://dx.doi.org/10.1126/science.1228034
Polymers with High Free Volume,PIM-SBI-TB (157 μm),Polymer with Intrinsic Microporosity (Spirobisindane TB) at 1 bar,878,2200,720,232,2900,450,,,,,,,,,,,Carta 2013,http://dx.doi.org/10.1126/science.1228035
Polymers with High Free Volume,PIM-SBI-TB (128 μm),Polymer with Intrinsic Microporosity (Spirobisindane TB) at 1 bar,858,2110,657,215,2720,406,,,,,,,,,,,Carta 2013,http://dx.doi.org/10.1126/science.1228036
Polymers with High Free Volume,PIM-HPB as cast,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,320,671,221,68,1640,124,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,PIM-HPB after MeOH,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,592,1413,534,190,3800,361,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,PIM-HPB aged 145 days,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,437,1000,340,107,2390,192,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,PIM-CH3-HPB as cast,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,249,501,154,46,990,82,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,PIM-CH3-HPB after MeOH,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,578,1220,408,122,2620,230,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,PIM-CH3-HPB aged 147 days,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,413,856,256,60,1630,132,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,PIM-Br-HPB as cast,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,91.4,154,30.4,6.3,189,10.1,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,PIM-Br-HPB after MeOH,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,392,930,301,92,2130,177,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,PIM-Br-HPB aged 146 days,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,312,694,203,54,1430,102,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,PIM-CN-HPB as cast,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,113,181,37.3,7.8,228,12.8,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,PIM-CN-HPB after MeOH,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,541,1200,386,123,2390,212,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,PIM-CN-HPB aged 147 days,Polymer with Intrinsic Microporosity (Hexaphenylbenzene based) at 1 bar,361,734,205,52,1300,93,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1021/ma501925j
Polymers with High Free Volume,TB-Ad-Me as cast,Polymer with Intrinsic Microporosity (adamantyl-based cardo- TB polymer) at 1 bar,,161.4,40.2,11.24,200.5,18.7,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1039/c4py00607k
Polymers with High Free Volume,TB-Ad-Me after MeOH,Polymer with Intrinsic Microporosity (adamantyl-based cardo- TB polymer) at 1 bar,,1800,437,121,1820,162,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1039/c4py00607k
Polymers with High Free Volume,TB-Ad-Me after ageing (6 months),Polymer with Intrinsic Microporosity (adamantyl-based cardo- TB polymer) at 1 bar,,745,145,33,635,41,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1039/c4py00607k
Polymers with High Free Volume,PIM-7,Polymer with Intrinsic Microporosity (bis(phenazyl) spirobisindane-based ladder polymer) at 200-300 mbar,440,860,190,42,1100,62,,,,,,,,,,,Ghanem 2008,http://dx.doi.org/10.1021/ma071846r
Polymers with High Free Volume,Cardo-PIM-1,Polymer with Intrinsic Microporosity (cardo-ethanoanthracen-based ladder polymer) at at 200-300 mbar,170,320,59,13,430,22,,,,,,,,,,,Ghanem 2008,http://dx.doi.org/10.1021/ma071846r
Polymers with High Free Volume,PIM-Trip-TB methanol treated,Polymer with Intrinsic Microporosity (triptycene TB) at 1 bar,2500,8039,2718,629,9709,905,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1002/adma.201305783
Polymers with High Free Volume,PIM-Trip-TB aged 100 days,Polymer with Intrinsic Microporosity (triptycene TB) at 1 bar,1585,4740,1073,189,3951,218,,,,,,,,,,,Carta 2014,http://dx.doi.org/10.1002/adma.201305784
Polymers with High Free Volume,PIM-CO15(quinoline),Polymer with Intrinsic Microporosity (spirochromane-based ladder polymer),330,600,150,40,1070,56,,,,,,,,,,,Fritsch 2011,http://dx.doi.org/10.1002/macp.201100089
Polymers with High Free Volume,PIM-CO15(dichlorobenzene),Polymer with Intrinsic Microporosity (spirochromane-based ladder polymer),450,900,275,83,2000,130,,,,,,,,,,,Fritsch 2011,http://dx.doi.org/10.1002/macp.201100090
Polymers with High Free Volume,PIM1-CO15-75 (CHCl3),Polymer with Intrinsic Microporosity (spirobisindane/spirochromane-based ladder co-polymer),520,1100,350,110,2570,180,,,,,,,,,,,Fritsch 2011,http://dx.doi.org/10.1002/macp.201100091
Polymers with High Free Volume,PIM1-CO15-50 (CHCl3),Polymer with Intrinsic Microporosity (spirobisindane/spirochromane-based ladder co-polymer),770,1700,630,210,4600,370,,,,,,,,,,,Fritsch 2011,http://dx.doi.org/10.1002/macp.201100092
Polymers with High Free Volume,PIMCO1-CO15-50(quinoline),Polymer with Intrinsic Microporosity (ethanoanthracene/spirochromane-based ladder co-polymer),870,2100,760,240,5400,350,,,,,,,,,,,Fritsch 2011,http://dx.doi.org/10.1002/macp.201100093
Polymers with High Free Volume,PIMCO2-CO15-50 (CHCl3),Polymer with Intrinsic Microporosity (hexamethylspirobisindane/spirochromane-based ladder co-polymer),950,2150,790,260,5300,430,,,,,,,,,,,Fritsch 2011,http://dx.doi.org/10.1002/macp.201100094
Polymers with High Free Volume,PIMCO6-CO15-50(dichlorobenzene),Polymer with Intrinsic Microporosity (spirobisindane/spirochromane-based ladder co-polymer),650,1500,520,170,3800,280,,,,,,,,,,,Fritsch 2011,http://dx.doi.org/10.1002/macp.201100095
Polymers with High Free Volume,PIMCO19-CO15-50 (CHCl3),Polymer with Intrinsic Microporosity (spirobisindane/spirochromane-based ladder co-polymer),620,1300,460,150,3400,260,,,,,,,,,,,Fritsch 2011,http://dx.doi.org/10.1002/macp.201100096
Polymers with High Free Volume,PIM-CO19 (CHCl3),Polymer with Intrinsic Microporosity (spirobisindane-based ladder polymer),880,2100,820,320,6100,580,,,,,,,,,,,Fritsch 2011,http://dx.doi.org/10.1002/macp.201100097
Polymers with High Free Volume,PIM-PI-1,Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/tetramethylphenylene) at 200–500 mbar,260,530,150,47,1100,77,,,,,,,,,,,Ghanem 2008,http://dx.doi.org/10.1002/adma.200702400
Polymers with High Free Volume,PIM-PI-3,Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/hexafluoroisopropylidene) at 200–500 mbar,190,360,85,23,520,27,,,,,,,,,,,Ghanem 2008,http://dx.doi.org/10.1002/adma.200702400
Polymers with High Free Volume,PIM-PI-8,Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/dimethylnaphthidine) at 200–500 mbar,660,1600,545,160,3700,260,,,,,,,,,,,Ghanem 2008,http://dx.doi.org/10.1002/adma.200702400
Polymers with High Free Volume,PIM-PI-2,Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/hexafluoroisopropylidene) at 200–300 mbar,160,220,39,9,210,9,,,,,,,,,,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q
Polymers with High Free Volume,PIM-PI-4,Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/bis-trifluoromethyl-biphenyl) at 200–300 mbar,205,300,64,16,420,20,,,,,,,,,,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q
Polymers with High Free Volume,PIM-PI-7,Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/naphthalene) at 200–300 mbar,190,350,77,19,510,27,,,,,,,,,,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q
Polymers with High Free Volume,PIM-PI-9 as cast,Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/tetramethylphenylenediamine) at 1 bar,400,840,295,94,2180,170,,,,,,,,,,,Rogan 2013,http://dx.doi.org/10.1039/c3py00451a
Polymers with High Free Volume,PIM-PI-9 MeOH,Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/tetramethylphenylenediamine) at 1 bar,1160,2990,1150,420,5700,610,,,,,,,,,,,Rogan 2013,http://dx.doi.org/10.1039/c3py00451a
Polymers with High Free Volume,PIM-PI-10 as cast,Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/dimethylnaphthidine) at 1 bar,300,670,270,84,2154,168,,,,,,,,,,,Rogan 2013,http://dx.doi.org/10.1039/c3py00451a
Polymers with High Free Volume,PIM-PI-10 MeOH,Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/dimethylnaphthidine) at 1 bar,950,2560,1010,340,5910,550,,,,,,,,,,,Rogan 2013,http://dx.doi.org/10.1039/c3py00451a
Polymers with High Free Volume,PIM-PI-11 as cast,Polymer with Intrinsic Microporosity (Polyimide Spirobisindane/Spirobisindan) at 1 bar,332,624,208,65,1523,129,,,,,,,,,,,Rogan 2013,http://dx.doi.org/10.1039/c3py00451a
Polymers with High Free Volume,TPIM-1,Triptycene-based Polymer with Intrinsic Microporosity,,1105,61,7.09,,7.27,,,,,,,,,,,Swaidan 2015,http://pubs.acs.org/doi/abs/10.1021/acsmacrolett.5b00512
